Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Date1,LT_Rev,Date2,ST_Rev,Date3,Mom
196711,    0.37,   -0.06,   -1.71,    1.31,   -2.28,    0.36,193505,   1.16,193006,  -6.82,193105,   9.23
196712,    3.05,    5.59,   -0.54,   -0.74,   -0.03,    0.33,193506,   0.79,193007,   6.36,193106, -17.60
196801,   -4.03,    4.68,    4.85,   -4.89,    6.46,    0.40,193507,   8.98,193008,   2.20,193107,   8.40
196802,   -3.74,   -2.92,    1.23,   -0.08,    2.46,    0.39,193508,  10.00,193009,  -3.56,193108,  -3.12
196803,    0.21,   -1.55,   -0.63,    1.07,   -1.15,    0.38,193509,  -0.50,193010,  -4.34,193109,   9.29
196804,    9.01,    6.17,   -1.10,    2.79,   -3.73,    0.43,193510,   6.27,193011,   1.98,193110,   2.97
196805,    2.28,    6.97,    0.82,    0.49,   -1.92,    0.45,193511,   7.43,193012,  -2.49,193111,   7.94
196806,    0.70,   -0.33,    0.66,   -1.56,    2.80,    0.43,193512,   0.98,193101,  16.83,193112,  12.95
196807,   -2.69,   -1.39,    5.31,   -3.18,    3.79,    0.48,193601,  12.30,193102,  -2.33,193201,  -9.94
196808,    1.35,    2.33,    0.99,   -0.66,    0.47,    0.42,193602,   1.81,193103,   5.08,193202,   1.49
196809,    4.05,    2.81,    0.30,   -1.94,    0.87,    0.43,193603,  -1.53,193104,  -5.61,193203,  10.04
196810,    0.44,   -0.43,    2.82,   -1.36,    2.84,    0.44,193604,  -7.20,193105,  -3.63,193204,   7.63
196811,    5.42,    2.39,   -0.96,    0.44,   -2.51,    0.42,193605,   3.39,193106,  17.80,193205,  12.54
196812,   -3.93,    3.55,    0.04,   -1.91,    1.93,    0.43,193606,  -2.45,193107,   8.18,193206,   1.92
196901,   -1.25,   -0.42,    1.66,   -1.52,    1.29,    0.53,193607,   4.14,193108,   1.20,193207, -45.74
196902,   -5.86,   -4.16,    0.89,    1.99,    0.75,    0.46,193608,   2.29,193109,   4.92,193208, -52.61
196903,    2.67,   -0.51,   -0.42,   -1.34,   -0.44,    0.46,193609,  -1.02,193110,  19.24,193209,   2.46
196904,    1.47,   -0.78,    0.02,    0.28,   -0.16,    0.53,193610,   1.57,193111,   1.73,193210,   4.62
196905,   -0.10,   -0.18,    0.62,   -0.87,    1.05,    0.48,193611,  -2.52,193112,  -5.50,193211,  -0.96
196906,   -7.18,   -5.47,   -1.10,    4.27,   -1.63,    0.51,193612,   2.23,193201,  16.47,193212,   4.64
196907,   -7.00,   -3.39,    1.18,    1.51,    1.84,    0.53,193701,   0.98,193202,   9.14,193301,  -2.44
196908,    4.69,    0.58,   -3.75,    1.06,   -3.98,    0.50,193702,  -0.48,193203,  -0.69,193302,   4.65
196909,   -2.97,    1.29,   -3.22,    3.36,   -0.62,    0.62,193703,  -1.83,193204,  -3.13,193303,   4.24
196910,    5.05,    3.91,   -3.12,    0.08,   -2.08,    0.60,193704,  -0.08,193205,  -1.20,193304, -17.40
196911,   -3.80,   -2.42,   -1.25,    1.40,    0.21,    0.52,193705,  -2.94,193206,  15.82,193305,  -5.54
196912,   -2.63,   -3.72,   -2.88,    2.55,   -1.92,    0.64,193706,   0.96,193207,  -2.03,193306,   4.18
197001,   -8.11,    3.08,    3.17,   -1.75,    3.96,    0.60,193707,  -1.43,193208, -19.69,193307,  -0.35
197002,    5.14,   -2.57,    3.69,   -2.41,    2.87,    0.62,193708,  -2.13,193209,   9.47,193308,   7.54
197003,   -1.06,   -2.42,    4.08,   -1.06,    4.42,    0.57,193709,  -2.70,193210,  -1.35,193309,   1.61
197004,  -10.99,   -6.34,    6.14,   -0.63,    5.90,    0.50,193710,   2.21,193211,  -1.11,193310,  -2.21
197005,   -6.91,   -4.46,    3.32,   -1.29,    3.79,    0.53,193711,   2.85,193212,  -1.37,193311,   6.48
197006,   -5.80,   -2.10,    0.44,    0.14,    2.71,    0.58,193712,   0.95,193301,   7.54,193312,   4.01
197007,    6.92,   -0.66,    0.93,   -0.30,    1.72,    0.52,193801,  -0.27,193302,   3.38,193401,  -3.39
197008,    4.50,    1.44,    1.41,    0.57,   -0.14,    0.53,193802,  -3.71,193303,  10.11,193402,   0.09
197009,    4.18,    8.50,   -5.41,    0.25,   -5.98,    0.54,193803,   8.10,193304, -12.58,193403,  -0.67
197010,   -2.28,   -4.36,    0.21,    1.81,    2.25,    0.46,193804,  -4.16,193305,   0.29,193404,  -4.81
197011,    4.62,   -3.88,    1.58,    1.53,    1.39,    0.46,193805,   4.18,193306,  -0.17,193405,  -2.39
197012,    5.74,    2.89,    1.04,    0.28,    0.30,    0.42,193806, -12.98,193307,   8.37,193406,  -0.79
197101,    4.83,    7.44,    1.55,   -2.02,   -0.06,    0.38,193807,  -2.34,193308,   8.44,193407,   8.80
197102,    1.41,    2.01,   -1.24,    0.64,   -0.80,    0.33,193808,  -3.52,193309,  -0.12,193408,   2.56
197103,    4.12,    2.22,   -3.95,    1.78,   -2.65,    0.30,193809,  -0.58,193310,  -1.29,193409,  -0.06
197104,    3.15,   -0.36,    0.86,   -1.46,    0.85,    0.28,193810,   5.14,193311,   6.30,193410,   6.88
197105,   -4.00,   -1.12,   -1.33,    1.49,    0.20,    0.29,193811,  -2.96,193312,  -0.76,193411,   3.77
197106,   -0.09,   -1.51,   -1.97,    1.58,   -1.67,    0.37,193812,  -1.24,193401,   9.43,193412,   4.53
